name	addr:district	amenity	health_facility:level	@lat	@lon
Kyenjojo General		hospital		0.7773063	30.5613960
Kyegegwa		hospital		0.4840586	31.0534551
Nebbi (Angal		hospital		2.4085618	31.1937693
Angal General		hospital		2.4085167	31.1938412
Nebbi General		hospital		2.4768732	31.0857538
Maracha General		hospital		3.2362351	30.9217314
Koboko General		hospital		3.4092643	30.9597404
Yumbe General		hospital		3.4690623	31.2462343
Arua Regional Referral		hospital		3.0199724	30.9138891
Arua (Arua RR		hospital		3.0199724	30.9138891
Kuluva General		hospital		2.9463677	30.9328159
Oriajini General		hospital		3.0993814	30.9679144
Pioneer General		hospital		3.0199724	30.9138891
Rhema General		hospital		3.0199724	30.9138891
Moyo General		hospital		3.6580568	31.7277545
Adjumani General		hospital		3.3740875	31.7929480
Zombo		hospital		2.5094625	30.9118642
Nyapea General		hospital		2.4609624	30.9502883
Anaka General		hospital		2.5997422	31.9479580
Apac General		hospital		1.9788137	32.5334603
Nightingale General		hospital		1.9788137	32.5334603
Lira University General		hospital		2.2565868	32.8246057
Oyam		hospital		2.2608036	33.2362812
Aber General		hospital		2.2342527	32.3873748
Lwala General		hospital		1.8594472	33.2783378
Amai Community General		hospital		1.7904898	32.9206295
Abim		hospital		2.6279242	33.6662233
Amudat General		hospital		1.9535229	34.9433128
Bukwo General General		hospital		1.9535229	34.9433128
Kapchorwa General		hospital		1.4036000	34.4422053
St. Joseph's General		hospital		3.2915115	32.8742106
Padyere HSD Nebbi (Angal		hospital		2.4085618	31.1937693
Vurra And Upper Madi HSD Kuluva General		hospital		2.9463677	30.9328159
