facility_name,district,level,latitude,longitude
Luyitayita Health Centre III,Bukomansimbi,HC II,,
Butenga Medical Center Health Centre III,Bukomansimbi,HC II,,
Butenga Health Centre IV,Bukomansimbi,HC IV,,
Kawoko Health Centre III,Bukomansimbi,HC II,,
Buwenda (Bukomansimbi) Health Centre II,Bukomansimbi,HC II,,
Kambi Health Centre II,Bukomansimbi,HC II,,
Kisojjo (Bukomansimbi) Health Centre II,Bukomansimbi,HC II,,
Buyoga Health Centre III,Bukomansimbi,HC II,,
Kagoggo Health Centre II,Bukomansimbi,HC II,,
Mirambi Health Centre III,Bukomansimbi,HC II,,
St. Jude Clinic (Ndeeba) Health Centre II,Bukomansimbi,HC II,,
Kirinda Health Centre II,Bukomansimbi,HC II,,
Makukuulu Health Centre III,Bukomansimbi,HC II,,
Kitanda Health Centre III,Bukomansimbi,HC II,,
Amanang Health Centre II,Bukwo,HC II,,
Aralam Health Centre II,Bukwo,HC II,,
Brim Health Centre II,Bukwo,HC II,,
Bukwo General General,Bukwo,Hospital,,
Bukwo Health Centre IV,Bukwo,HC IV,,
Chepkwasta Health Centre II,Bukwo,HC II,,
Chesimat Health Centre II,Bukwo,HC II,,
Chesower Health Centre III,Bukwo,HC II,,
Kamet Health Centre II,Bukwo,HC II,,
Kapkoloswo Health Centre III,Bukwo,HC II,,
Kapkoros Health Centre II,Bukwo,HC II,,
Kapsarur Health Centre II,Bukwo,HC II,,
Kortek Health Centre III,Bukwo,HC II,,
Kwirwot Health Centre II,Bukwo,HC II,,
Mutushet Health Centre II,Bukwo,HC II,,
Tulel Health Centre II,Bukwo,HC II,,
Atari Health Centre II,Bulambuli,HC II,,
Buginyanya Health Centre III,Bulambuli,HC II,,
Bugudoi Health Centre II,Bulambuli,HC II,,
Bukhalu Health Centre III,Bulambuli,HC II,,
Bukibologoto Health Centre II,Bulambuli,HC II,,
Bulaago Health Centre II,Bulambuli,HC II,,
Bulegeni Health Centre III,Bulambuli,HC II,,
Buluganya Health Centre III,Bulambuli,HC II,,
Bumageni Health Centre II,Bulambuli,HC II,,
Bumasobo Health Centre III,Bulambuli,HC II,,
Bumugibole Health Centre II,Bulambuli,HC II,,
Bumugusha Health Centre III,Bulambuli,HC II,,
Bumwambu Health Centre III,Bulambuli,HC II,,
Bunambutye Health Centre III,Bulambuli,HC II,,
Bunangaka Health Centre II,Bulambuli,HC II,,
Buwakhanywinywi Health Centre II,Bulambuli,HC II,,
Buyaga Health Centre III,Bulambuli,HC II,,
Bwikhonge Health Centre II,Bulambuli,HC II,,
Divine Clinic Health Centre II,Bulambuli,HC II,,
Gamatimbei Health Centre III,Bulambuli,HC II,,
Gombe (Bulambuli) Health Centre II,Bulambuli,HC II,,
Kata Health Centre III,Bulambuli,HC II,,
Masira Health Centre III,Bulambuli,HC II,,
Muyembe Health Centre IV,Bulambuli,HC IV,,
Nabiwutulu Health Centre II,Bulambuli,HC II,,
Namudongo Health Centre II,Bulambuli,HC II,,
Simu Corner Medical Centre Health Centre II,Bulambuli,HC II,,
Tunyi Health Centre II,Bulambuli,HC II,,
Avogera Health Centre III,Buliisa,HC II,,
Biiso Health Centre III,Buliisa,HC II,,
Bugana Health Centre III,Buliisa,HC II,,
Bugoigo Health Centre II,Buliisa,HC II,,
Buliisa General,Buliisa,Hospital,,
Buliisa Health Centre IV,Buliisa,HC IV,,
Butiaba Health Centre III,Buliisa,HC II,,
Kigwera Health Centre II,Buliisa,HC II,,
Kihungya Health Centre II,Buliisa,HC II,,
Marine Military Health Centre II,Buliisa,HC II,,
Paraa Health Centre II,Buliisa,HC II,,
Uganda Martyrs Health Centre II,Buliisa,HC II,,
Bubukwanga Health Centre III,Bundibugyo,HC II,,
Buhanda (Bundibugyo) Health Centre II,Bundibugyo,HC II,,
Bukangama Health Centre III,Bundibugyo,HC II,,
Bulyambwa Health Centre II,Bundibugyo,HC II,,
Bundibugyo General,Bundibugyo,Hospital,,
Bundibugyo Police Clinic Health Centre II,Bundibugyo,HC II,,
Bundimulangya Health Centre II,Bundibugyo,HC II,,
Bundingoma Health Centre II,Bundibugyo,HC II,,
Bupomboli Health Centre II,Bundibugyo,HC II,,
Burondo Health Centre II,Bundibugyo,HC II,,
Busaru Health Centre IV,Bundibugyo,HC IV,,
Busoru Health Centre II,Bundibugyo,HC II,,
Busunga Health Centre II,Bundibugyo,HC II,,
Butama Health Centre III,Bundibugyo,HC II,,
Ebenezer SDA Health Centre III,Bundibugyo,HC II,,
Family Health Care Clinic Health Centre II,Bundibugyo,HC II,,
Gadafi Medical Centre Health Centre II,Bundibugyo,HC II,,
Kakuka Health Centre III,Bundibugyo,HC II,,
Kanyamwirima Army Health Centre III,Bundibugyo,HC II,,
Kasulenge Health Centre II,Bundibugyo,HC II,,
Kayenje Health Centre II,Bundibugyo,HC II,,
Kikyo Health Centre IV,Bundibugyo,HC IV,,
Kisuba Health Centre III,Bundibugyo,HC II,,
Kyondo (Bundibugyo) Health Centre II,Bundibugyo,HC II,,
Mantoroba Health Centre II,Bundibugyo,HC II,,
Mirambi Health Centre II,Bundibugyo,HC II,,
Ngamba Health Centre II,Bundibugyo,HC II,,
Ntandi Health Centre III,Bundibugyo,HC II,,
Nyahuka Health Centre IV,Bundibugyo,HC IV,,
Tombwe Health Centre II,Bundibugyo,HC II,,
1 Igara West HSD Ankole Tea Factory Health Centre II,Bushenyi,HC II,,
2 Igara West HSD Bitooma Health Centre III,Bushenyi,HC II,,
3 Bushenyi Ishaka Municipality HSD Bmc-Katungu Health Centre III,Bushenyi,HC II,,
4 Igara East HSD Burungira Health Centre II,Bushenyi,HC II,,
5 Bushenyi Ishaka Municipality HSD Bushenyi Health Centre IV,Bushenyi,HC IV,,
6 Igara East HSD Bushenyi-Buyanja Health Centre II,Bushenyi,HC II,,
7 Igara West HSD Bushenyi-Kashozi Health Centre II,Bushenyi,HC II,,
8 Bushenyi Ishaka Municipality HSD Butuuro Peoples Sacco,Bushenyi,Clinic,,
9 Igara East HSD Bwera Health Centre II,Bushenyi,HC II,,
10 Igara West HSD Comboni General,Bushenyi,Hospital,,
11 Igara West HSD Igara Tea Factory Health Centre II,Bushenyi,HC II,,
12 Bushenyi Ishaka Municipality HSD Ishaka Adventist General,Bushenyi,Hospital,,
13 Igara East HSD Kabushaho Health Centre III,Bushenyi,HC II,,
14 Igara East HSD Kainamo Health Centre II,Bushenyi,HC II,,
15 Igara East HSD Kajunju Health Centre II,Bushenyi,HC II,,
16 Igara West HSD Kakanju Health Centre III,Bushenyi,HC II,,
17 Igara West HSD Kakanju UMSC Health Centre II,Bushenyi,HC II,,
19 Bushenyi Ishaka Municipality HSD Kashenyi Health Centre II,Bushenyi,HC II,,
20 Igara East HSD Kashogashoga Health Centre II,Bushenyi,HC II,,
21 Bushenyi Ishaka Municipality HSD Katungu (Wad) Health Centre II,Bushenyi,HC II,,
22 Bushenyi Ishaka Municipality HSD Katungu Mission Health Centre III,Bushenyi,HC II,,
23 Igara West HSD Kibazi Health Centre II,Bushenyi,HC II,,
24 Bushenyi Ishaka Municipality HSD KIU Teaching General,Bushenyi,Hospital,,
25 Igara East HSD Kyabugimbi Health Centre IV,Bushenyi,HC IV,,
26 Igara West HSD Kyamuhunga Health Centre III,Bushenyi,HC II,,
27 Bushenyi Ishaka Municipality HSD Kyeizooba Farmers,Bushenyi,Clinic,,
28 Igara East HSD Kyeizooba Health Centre III,Bushenyi,HC II,,
29 Igara West HSD Nombe Health Centre II,Bushenyi,HC II,,
30 Igara East HSD Numba Health Centre II,Bushenyi,HC II,,
31 Igara West HSD Nyabubare Health Centre III,Bushenyi,HC II,,
32 Bushenyi Ishaka Municipality HSD Nyamiko Health Centre II,Bushenyi,HC II,,
33 Igara East HSD Nyamiyaga Health Centre II,Bushenyi,HC II,,
34 Igara West HSD Nyarugote Health Centre II,Bushenyi,HC II,,
36 Bushenyi Ishaka Municipality HSD Ruharo Health Centre II,Bushenyi,HC II,,
37 Igara East HSD Ruhumuro Health Centre III,Bushenyi,HC II,,
38 Igara West HSD Rushinya Health Centre II,Bushenyi,HC II,,
39 Igara East HSD Rutooma Health Centre II,Bushenyi,HC II,,
40 Igara East HSD Ryeishe Health Centre III,Bushenyi,HC II,,
41 Igara East HSD St. Laura Health Centre II,Bushenyi,HC II,,
42 Igara West HSD Swazi Health Centre II,Bushenyi,HC II,,
1 Samia Bugwe North HSD Amonikakinei Health Centre II,Busia,HC II,,
2 Samia Bugwe South HSD Buhehe Health Centre III,Busia,HC II,,
3 Samia Bugwe North HSD Bulumbi Health Centre III,Busia,HC II,,
4 Samia Bugwe South HSD Bumunji Health Centre II,Busia,HC II,,
5 Busia Municipality HSD Busia Health Centre IV,Busia,HC IV,,
6 Samia Bugwe South HSD Busime Health Centre II,Busia,HC II,,
7 Samia Bugwe North HSD Busitema Health Centre III,Busia,HC II,,
8 Samia Bugwe South HSD Butangasi Health Centre II,Busia,HC II,,
9 Samia Bugwe North HSD Buteba Health Centre III,Busia,HC II,,
10 Samia Bugwe North HSD Buwembe Health Centre II,Busia,HC II,,
11 Samia Bugwe North HSD Buwumba Health Centre II,Busia,HC II,,
12 Samia Bugwe North HSD Buyengo Health Centre II,Busia,HC II,,
13 Samia Bugwe North HSD Dabani General,Busia,Hospital,,
14 Samia Bugwe North HSD Habuleke Health Centre II,Busia,HC II,,
15 Samia Bugwe South HSD Hasyule Health Centre II,Busia,HC II,,
16 Samia Bugwe South HSD Kubo Health Centre II,Busia,HC II,,
17 Busia Municipality HSD Lucky,Busia,Clinic,,
18 Busia Municipality HSD Luhaire,Busia,Clinic,,
19 Samia Bugwe South HSD Lumino Foc Rev Health Centre III,Busia,HC II,,
20 Samia Bugwe South HSD Lumino Health Centre III,Busia,HC II,,
21 Samia Bugwe South HSD Lunyo Health Centre III,Busia,HC II,,
22 Samia Bugwe South HSD Majanji Health Centre II,Busia,HC II,,
23 Samia Bugwe South HSD Masafu General,Busia,Hospital,,
24 Samia Bugwe North HSD Mawero Health Centre II,Busia,HC II,,
25 Samia Bugwe South HSD Mbehenyi Health Centre III,Busia,HC II,,
26 Samia Bugwe South HSD Mundindi Health Centre II,Busia,HC II,,
27 Samia Bugwe South HSD Musichimi Health Centre II,Busia,HC II,,
28 Samia Bugwe South HSD Nabulola Health Centre III,Busia,HC II,,
29 Samia Bugwe South HSD Namasyolo Health Centre II,Busia,HC II,,
30 Samia Bugwe North HSD Namungodi Health Centre II,Busia,HC II,,
31 Samia Bugwe South HSD Our Lady Of Lourdes Health Centre II,Busia,HC II,,
32 Busia Municipality HSD Police Clinic (Busia) Health Centre II,Busia,HC II,,
33 Samia Bugwe South HSD Sibona Health Centre II,Busia,HC II,,
34 Samia Bugwe North HSD Sikuda Health Centre II,Busia,HC II,,
35 Samia Bugwe North HSD Tiira Health Centre II,Busia,HC II,,
36 Busia Municipality HSD Victoria clinic (Busia),Busia,Clinic,,
Bingo Health Centre II,Butaleja,HC II,,
Bubalya Health Centre III,Butaleja,HC II,,
Budumba Health Centre III,Butaleja,HC II,,
Bugalo Health Centre III,Butaleja,HC II,,
Bunawale Health Centre II,Butaleja,HC II,,
Busaba Health Centre III,Butaleja,HC II,,
Busabi Health Centre III,Butaleja,HC II,,
Busolwe General,Butaleja,Hospital,,
Busolwe Community,Butaleja,Clinic,,
Butaleja Health Centre III,Butaleja,HC II,,
Doho Health Centre II,Butaleja,HC II,,
Hahoola Health Centre II,Butaleja,HC II,,
Kabasa Memorial General,Butaleja,Hospital,,
Kachonga Health Centre III,Butaleja,HC II,,
Kangalaba Health Centre III,Butaleja,HC II,,
Kanyenya Health Centre II,Butaleja,HC II,,
Madungha Health Centre II,Butaleja,HC II,,
Muhuyu Health Centre II,Butaleja,HC II,,
Mulagi Health Centre III,Butaleja,HC II,,
Nabiganda Health Centre IV,Butaleja,HC IV,,
Nakasanga Health Centre II,Butaleja,HC II,,
Nakwasi Health Centre III,Butaleja,HC II,,
Nampologoma Health Centre II,Butaleja,HC II,,
Namulo Health Centre II,Butaleja,HC II,,
Naweyo Health Centre III,Butaleja,HC II,,
Bugobango Health Centre II,Butambala,HC II,,
Bulo Clinic Health Centre II,Butambala,HC II,,
Bulo Health Centre III,Butambala,HC II,,
Butaaka Health Centre II,Butambala,HC II,,
Butende Health Centre II,Butambala,HC II,,
Epi-centre Senge Health Centre III,Butambala,HC II,,
Gombe (Butambala) General,Butambala,Hospital,,
Kabasanda Health Centre II,Butambala,HC II,,
Kalamba Community Health Centre II,Butambala,HC II,,
10Butambala HSD Kawonawo Domiciary,Butambala,Clinic,,
Kawonawo Health Centre II,Butambala,HC II,,
Kibibi Nursing Home Health Centre III,Butambala,HC II,,
Kibugga Health Centre II,Butambala,HC II,,
Kidawalime Nursing Home Health Centre II,Butambala,HC II,,
Kilokola Health Centre II,Butambala,HC II,,
Kitimba Health Centre III,Butambala,HC II,,
Kiziiko Health Centre II,Butambala,HC II,,
Kyabadaza Health Centre III,Butambala,HC II,,
Maria Assumpta Health Centre III,Butambala,HC II,,
Ngando Health Centre III,Butambala,HC II,,
Nsozibirye Health Centre II,Butambala,HC II,,
Ntolomwe Health Centre II,Butambala,HC II,,
Sanyu Domicilliary Health Centre II,Butambala,HC II,,
Savio Medical Centre Health Centre II,Butambala,HC II,,
Baptist Mission,Buvuma,Clinic,,
Bugabo Health Centre II,Buvuma,HC II,,
Bugaya Health Centre Health Centre III,Buvuma,HC II,,
Busamuzi Health Centre Health Centre III,Buvuma,HC II,,
Buvuma Health Centre Health Centre IV,Buvuma,HC IV,,
Buwooya Health Centre II,Buvuma,HC II,,
Bweema Health Centre Health Centre II,Buvuma,HC II,,
Lingira (ywam) Health Centre Health Centre II,Buvuma,HC II,,
Lubya Health Centre Health Centre II,Buvuma,HC II,,
Lwajje Health Centre Health Centre II,Buvuma,HC II,,
Namatale Health Centre Health Centre III,Buvuma,HC II,,
Namiti Health Centre Health Centre II,Buvuma,HC II,,
Nkata Health Centre Health Centre II,Buvuma,HC II,,
Bukungu Health Centre II,Buyende,HC II,,
Buyanja SDA Dispensary Health Centre II,Buyende,HC II,,
Buyende Bugaya Health Centre III,Buyende,HC II,,
Buyende Health Centre III,Buyende,HC II,,
Irapa Health Centre II,Buyende,HC II,,
Iringa Health Centre II,Buyende,HC II,,
Irundu Health Centre III,Buyende,HC II,,
Irundu St. Mathias Mulumba Health Centre III,Buyende,HC II,,
Joy Health Unit Health Centre II,Buyende,HC II,,
Kagulu Health Centre II,Buyende,HC II,,
Kakooge Health Centre II,Buyende,HC II,,
Kidera Health Centre IV,Buyende,HC IV,,
Kigingi FLEP Health Centre II,Buyende,HC II,,
Lunar CDF Health Centre III,Buyende,HC II,,
Namulikya Health Centre II,Buyende,HC II,,
Ngandho Health Centre II,Buyende,HC II,,
"Nkdu Health Center, Iringa Health Centre II",Buyende,HC II,,
Nkondo Health Centre III,Buyende,HC II,,
St. Lwanga Health Centre II,Buyende,HC II,,
Wandago Health Centre II,Buyende,HC II,,
Wesunire Catholic Health Centre III,Buyende,HC II,,
Wesunire FLEP Health Centre II,Buyende,HC II,,
Abalang Health Centre II,Dokolo,HC II,,
Adagmon Health Centre II,Dokolo,HC II,,
Adok Health Centre II,Dokolo,HC II,,
Agwatta Health Centre III,Dokolo,HC II,,
Alapata Health Centre II,Dokolo,HC II,,
Amuda Health Centre II,Dokolo,HC II,,
Amwoma Health Centre II,Dokolo,HC II,,
Anyacoto Health Centre II,Dokolo,HC II,,
Atabu Health Centre II,Dokolo,HC II,,
Awelo Health Centre II,Dokolo,HC II,,
Awiri Health Centre II,Dokolo,HC II,,
Bardyang Health Centre II,Dokolo,HC II,,
Bata Health Centre III,Dokolo,HC II,,
Dokolo Health Centre IV,Dokolo,HC IV,,
Kachung Health Centre II,Dokolo,HC II,,
Kangai Health Centre III,Dokolo,HC II,,
Kwera Health Centre III,Dokolo,HC II,,
Bukalagi Health Centre III,Gomba,HC II,,
Bulwadda Health Centre II,Gomba,HC II,,
Buyanja (Gomba) Health Centre II,Gomba,HC II,,
Kanoni Health Centre III,Gomba,HC II,,
Kanzira Health Centre II,Gomba,HC II,,
Kasambya (Gomba) Health Centre II,Gomba,HC II,,
Kewerimidde Health Centre II,Gomba,HC II,,
Kifampa Health Centre III,Gomba,HC II,,
Kisozi Health Centre III,Gomba,HC II,,
Kitwe Health Centre II,Gomba,HC II,,
Kyayi Health Centre III,Gomba,HC II,,
Maddu Health Centre IV,Gomba,HC IV,,
Mamba Health Centre II,Gomba,HC II,,
Mawuki Health Centre II,Gomba,HC II,,
Mpenja Health Centre III,Gomba,HC II,,
Namabeya Health Centre II,Gomba,HC II,,
Ngeribalya Health Centre II,Gomba,HC II,,
Ngomanene Health Centre II,Gomba,HC II,,
Rapha Medical Health Centre III,Gomba,HC II,,
Zee Medical Centre Health Centre II,Gomba,HC II,,
1 Gulu Municipality HSD AAR Gulu,Gulu,Clinic,,
Angaya Health Centre III,Gulu,HC II,,
Awach Health Centre IV,Gulu,HC IV,,
4 Gulu Municipality HSD Aywee Health Centre III,Gulu,HC II,,
5 Gulu Municipality HSD Bardege Health Centre III,Gulu,HC II,,
Child Care And Medical Centre Health Centre II,Gulu,HC II,,
7 Gulu Municipality HSD Comboni Samaritans Health Centre II,Gulu,HC II,,
8 Gulu Municipality HSD Community,Gulu,Clinic,,
Coope Health Centre II,Gulu,HC II,,
Cwero Health Centre III,Gulu,HC II,,
11 Gulu Municipality HSD Fitzmann Medical and Dental,Gulu,Clinic,,
12 Gulu Municipality HSD Flama Uganda Health Centre II,Gulu,HC II,,
13 Gulu Municipality HSD Glanhor,Gulu,Clinic,,
14 Gulu Municipality HSD Good hope Medical Centre (Gulu),Gulu,Clinic,,
15 Gulu Municipality HSD Goodwilll Polyclinic,Gulu,Clinic,,
16 Gulu Municipality HSD Gulu (Gulu RR,Gulu,Hospital,,
17 Gulu Municipality HSD Gulu Independent General,Gulu,Hospital,,
18 Gulu Municipality HSD Gulu Marie Stopes PNFP Health Centre II,Gulu,HC II,,
19 Gulu Municipality HSD Gulu Military General,Gulu,Hospital,,
20 Gulu Municipality HSD Gulu Police Health Centre II,Gulu,HC II,,
21 Gulu Municipality HSD Gulu Prison Health Centre III,Gulu,HC II,,
22 Gulu Municipality HSD Gulu Regional Referral,Gulu,Hospital,,
23 Gulu Municipality HSD Gulu University Health Centre II,Gulu,HC II,,
24 Gulu Municipality HSD Gulu Youth Centre Health Centre II,Gulu,HC II,,
Gwengdiya Health Centre II,Gulu,HC II,,
26 Gulu Municipality HSD International Medical Centre,Gulu,Clinic,,
Kal Alii Health Centre II,Gulu,HC II,,
Karin Medical Central Health Centre II,Gulu,HC II,,
29 Gulu Municipality HSD Kony-Kwo,Gulu,Clinic,,
Labworomor Health Centre III,Gulu,HC II,,
Lapeta Health Centre II,Gulu,HC II,,
32 Gulu Municipality HSD Laroo Health Centre III,Gulu,HC II,,
33 Gulu Municipality HSD Layibi Techo Health Centre III,Gulu,HC II,,
34 Gulu Municipality HSD Light Rays Uganda Health Centre II,Gulu,HC II,,
Lugore Prisions Health Centre II,Gulu,HC II,,
Lugore Health Centre II,Gulu,HC II,,
37 Gulu Municipality HSD Mola Medical Centre Health Centre II,Gulu,HC II,,
Oitino Health Centre II,Gulu,HC II,,
Omel Health Centre II,Gulu,HC II,,
Oroko Health Centre II,Gulu,HC II,,
Pabwo Health Centre III,Gulu,HC II,,
Paibona Health Centre II,Gulu,HC II,,
Patiko Health Centre III,Gulu,HC II,,
Pawel Angany Health Centre II,Gulu,HC II,,
45 Gulu Municipality HSD Pece Prisons Health Centre II,Gulu,HC II,,
46 Gulu Municipality HSD Pikwo Medical Centre Health Centre II,Gulu,HC II,,
47 Gulu Municipality HSD Pilwak,Gulu,Clinic,,
Pugwinyi Health Centre II,Gulu,HC II,,
Pukony Health Centre II,Gulu,HC II,,
Punena Health Centre II,Gulu,HC II,,
Rwotobilo Health Centre II,Gulu,HC II,,
53 Gulu Municipality HSD Sos (Hgmc) Health Centre II,Gulu,HC II,,
54 Gulu Municipality HSD St. Mauritz Health Centre II,Gulu,HC II,,
55 Gulu Municipality HSD St. Monica Health Centre II,Gulu,HC II,,
57 Gulu Municipality HSD St. Philip Health Centre II,Gulu,HC II,,
58 Gulu Municipality HSD St.Mary’s Lacor General,Gulu,Hospital,,
59 Gulu Municipality HSD TASO Gulu,Gulu,Clinic,,
Tegot-Ato Health Centre II,Gulu,HC II,,
Unyama Health Centre II,Gulu,HC II,,
62 Gulu Municipality HSD Victory Medical Centre,Gulu,Clinic,,
1 Hoima Municipality HSD Azur Health Centre IV,Hoima,HC IV,,
2 Hoima Municipality HSD Bacayaya Health Centre II,Hoima,HC II,,
Bombo Health Centre II,Hoima,HC II,,
Bugambe Health Centre III,Hoima,HC II,,
Bugambe Tea Health Centre III,Hoima,HC II,,
6 Hoima Municipality HSD Buhanika Health Centre III,Hoima,HC II,,
Buhimba Health Centre III,Hoima,HC II,,
Buhuka Health Centre II,Hoima,HC II,,
Bujalya Health Centre III,Hoima,HC II,,
Bujugu Health Centre III,Hoima,HC II,,
11 Hoima Municipality HSD Bujumbura Health Centre III,Hoima,HC II,,
Buraru Health Centre III,Hoima,HC II,,
Buseruka Health Centre III,Hoima,HC II,,
Butema Health Centre III,Hoima,HC II,,
Care Medical Centre Health Centre III,Hoima,HC II,,
16 Hoima Municipality HSD Dho’s Clinic Health Centre II,Hoima,HC II,,
17 Hoima Municipality HSD Doctor’s Clinic (Hoima) Health Centre III,Hoima,HC II,,
Dwoli Health Centre III,Hoima,HC II,,
19 Hoima Municipality HSD Edpa Medical Centre Health Centre III,Hoima,HC II,,
Gloria Health Centre Health Centre II,Hoima,HC II,,
23 Hoima Municipality HSD Hoima Islamic Health Centre III,Hoima,HC II,,
24 Hoima Municipality HSD Hoima Prisons Health Centre II,Hoima,HC II,,
25 Hoima Municipality HSD Hoima Regional Referral,Hoima,Hospital,,
26 Hoima Municipality HSD Hope Community (Hoima) Health Centre II,Hoima,HC II,,
Kabaale Health Centre III,Hoima,HC II,,
28 Hoima Municipality HSD Kabalega Medical Centre Health Centre III,Hoima,HC II,,
Kabwoya Health Centre III,Hoima,HC II,,
Kapapi Health Centre III,Hoima,HC II,,
31 Hoima Municipality HSD Karongo Health Centre III,Hoima,HC II,,
Kaseeta Health Centre III,Hoima,HC II,,
Kasomoro Health Centre II,Hoima,HC II,,
Kasonga Health Centre II,Hoima,HC II,,
Kibaire Health Centre II,Hoima,HC II,,
Kibiro Health Centre II,Hoima,HC II,,
Kichompyo Health Centre II,Hoima,HC II,,
Kigorobya Health Centre IV,Hoima,HC IV,,
39 Hoima Municipality HSD Kihuukya Health Centre II,Hoima,HC II,,
Kikuube Health Centre IV,Hoima,HC IV,,
Kisabagwa Health Centre II,Hoima,HC II,,
Kisaru Tea Health Centre II,Hoima,HC II,,
Kiseke Health Centre II,Hoima,HC II,,
Kisiiha Health Centre II,Hoima,HC II,,
Kitana Health Centre II,Hoima,HC II,,
Kitoole Health Centre II,Hoima,HC II,,
Kyabasengya Health Centre II,Hoima,HC II,,
